Date,disaster_type,Incident_Count,Location,Severity_Index
2021-07-16,DOMESTIC FIRE,1,ESIAMA,1
2019-11-02,WINDSTORM,1,AGONA NKWANTA,1
21/03/19,WINDSTORM,1,MPATASE,1
22/03/19,WINDSTORM,1,ABURA,1
23/03/19,WINDSTORM,1,AKWIDAA,1
25/4/19,WINDSTORM,1,BONWIRE JUNCTION,1
2019-01-05,WINDSTORM,1,AHOBRE,1
2019-01-05,WINDSTORM,1,ESIAMA,1
21/5/19,WINDSTORM,1,ESIAMA,1
21/5/19,FLOOD,1,"ABURA,AGONA",1
2021-07-16,RAINSTORM,1,ESIAMA,1
2019-10-14,FLOOD,2,"ABURA,AGONA",1
2019-11-23,FLOOD,1,DIXCOVE,1
2019-07-03,RAINSTORM,1,"ESSIPONG,ESSAMAM,MPINTSIN",1
2019-01-05,RAINSTORM,1,ESIAMA,1
31/5/19,FLOOD,1,ESIAMA,1
2019-10-11,FLOOD,1,ESHIEM,1
19/2/19,RAINSTORM,1,NYANSO,1
31/5/19,RAINSTORM,1,ESIAMA,1
2019-07-06,FLOOD,1,ESIAMA,1
2019-07-06,RAINSTORM,1,ESIAMA,1
2019-04-07,RAINSTORM,1,AKYIM,1
2019-10-10,RAINSTORM,1,NEW BENSO,1
2019-10-10,RAINSTORM,1,BENSO ATAKROM,1
2019-11-27,WINDSTORM,1,NSUAEM,1
24/3/19,RAINSTORM,1,COCOA TOWN,1
24/3/19,RAINSTORM,1,JAWAY,1
30/5/19,FLOOD,1,ESIAMA,1
2019-10-12,FLOOD,1,"JOMRO,MANTSEMANKABI,MENTUKWA,ELEBO ZONGO,NEWTOWN,BANYIN,ELEBO CEMETRY,ELEBO GYINAKRO,ELEBO POST OFFICE",1
2019-10-13,FLOOD,1,GYINAKO,1
2019-10-13,FLOOD,1,POST OFFICE,1
2019-10-13,FLOOD,1,MANTEMANKABI,1
2019-10-13,FLOOD,1,ZONGO,1
2019-10-13,FLOOD,1,NDABULA,1
2019-10-13,FLOOD,1,COCOA TOWN,1
2019-10-13,FLOOD,1,GHANA NUNGUA,1
2019-10-13,FLOOD,1,NSUANO,1
2019-10-13,FLOOD,1,MARKET,1
2019-10-13,FLOOD,1,NEW TOWN,1
2019-10-13,FLOOD,1,AMAMAMO,1
2019-10-13,FLOOD,1,MANTUKWA,1
2019-10-13,FLOOD,1,BEYIN,1
2019-12-19,DOMESTIC FIRE,1,ENZINITIANU,1
2019-07-03,RAINSTORM,1,KOMFREKU,1
11/319,WINDSTORM,1,ESUMANKROM,1
17/3/19,FLOOD,1,SHAMA KUMASI,1
14/4/19,FLOOD,1,ESIAMA,1
2019-08-05,WINDSTORM,1,ESIAMA,1
2019-01-05,TIDAL WAVES,1,ESIAMA,1
2021-07-16,WINDSTORM,1,ESIAMA,1
2021-07-16,FLOOD,1,ESIAMA,1
2019-10-14,FLOOD,1,AMISSAHKROM,1
2019-10-14,FLOOD,1,UPPER INCHABAN,1
2019-10-14,FLOOD,1,LOWER INCHABAN,1
2019-10-14,FLOOD,1,NEW DABOASE JUNCTION,1
2019-01-04,WINDSTORM,1,NKAKEM,1
27/5/19,RAINSTORM,1,NKAKEM,1
31/5/19,WINDSTORM,1,ESIAMA,1
2019-03-09,TIDAL WAVES,1,AGYAN,1
2019-11-10,FLOOD,1,"DUALE,AJOMORO,SIKA NYEASEM,AVREBO,NUABESA,GWIRA-BANSO,BAMIANKOR,SENTUM",1
2019-10-14,FLOOD,1,"AVREBO,GWIRA BANSO,NUABESA",1
2019-10-15,FLOOD,1,"DUALE,KUTUKROM,BAMIANKOR",1
2019-10-16,FLOOD,1,"SENTUM,GWIRA ESIAM,",1
2019-10-17,FLOOD,1,AJOMORO ESIAM,1
2019-10-28,FLOOD,1,KAKUSUZO,1
2019-10-27,FLOOD,1,AMANVUMANU,1
2019-10-28,FLOOD,1,BOKRO,1
2019-06-05,WINDSTORM,1,ESIAMA,1
13/5/19,WINDSTORM,1,ESIAMA,1
2019-06-03,RAINSTORM,1,ESIAMA,1
2019-09-04,WINDSTORM,1,ESIAMA,1
2019-10-13,FLOOD,1,SALMA,1
2019-11-13,FLOOD,1,ADUBRIEM,1
2019-10-13,FLOOD,1,AKROPONG,1
17/3/19,RAINSTORM,1,NKAKAA,1
20/3/19,WINDSTORM,1,"KWASIKRU,SOMPRE",1
20/3/19,WINDSTORM,1,SOMPRE,1
22/3/19,RAINSTORM,1,DWIFE,1
19/4/19,RAINSTORM,1,ESIAMA,1
20/4/19,RAINSTORM,1,ESIAMA,1
17/01/19,WINDSTORM,1,DABOASE,1
18/01/19,WINDSTORM,1,ATIEKU,1
27/01/19,WINDSTORM,1,SUBRI,1
2019-04-11,WINDSTORM,1,SEKYEREKROBO,1
2019-11-22,WINDSTORM,1,SEKYREADIEMBRA,1
2019-07-04,RAINSTORM,1,ESIAMA,1
2019-07-05,RAINSTORM,1,ESIAMA,1
2019-10-12,FLOOD,1,"HOSPITAL RIDGE,EDUCATION OFFICED,YIRASE,ASUOHYIAM",1
26/3/19,RAINSTORM,1,PRESTEA,1
2019-02-05,FLOOD,1,ESIAMA,1
13/5/19,RAINSTROM,1,ESIAMA,1
2019-02-06,RAINSTORM,1,ESIAMA,1
24/6/16,FLOOD,1,ESIAMA,1
2019-10-24,FLOOD,1,PRESTEA,1
2019-10-27,FLOOD,1,ABOSO,1
2019-10-28,FLOOD,1,JUABEN,1
2019-10-28,FLOOD,1,BEPPO,1
2019-10-31,FLOOD,1,HIMAN,1
2019-10-31,FLOOD,1,BOGOSO,1
2019-10-03,WINDSTORM,1,"JAPA,ASUOJA,KROBO GYEDUA,DOMEABRA,WANTRAM",1
2019-10-28,FLOOD,1,WASSA SAA,1
2019-06-02,RAINSTORM,1,SOUTH EFFIAKUMA ESTATE,1
2019-01-05,RAINSTORM,1,RAINSTORM,1
2019-10-20,FLOOD,1,WHINDO NEWSITE,1
2019-10-20,MAN MADE,1,ASSAKAE,1
2019-10-20,FLOOD,1,ANAJI OLD BRIGADE,1
2019-10-20,FLOOD,1,KWESIMINTSIM,1
2019-10-20,FLOOD,1,APREMDO TOWN,1
22/3/19,RAINSTORM,1,ABODUAM,1
2019-04-04,RAINSTORM,1,ESIAMA,1
2019-10-06,RAINSTORM,1,ESIAMA,1
2019-12-06,FLOOD,1,ESIAMA,1
