date,disaster_type,id,location,severity_index,year,month,day,day_of_week
,DISASTER_TYPE,Incident_Count,Location,Severity_Index,,,,
2021-07-16,FIRE,1,ESIAMA,1,2021.0,7.0,16.0,4.0
2019-11-02,WIND_STORM,1,AGONA NKWANTA,1,2019.0,11.0,2.0,5.0
2019-03-21,WIND_STORM,1,MPATASE,1,2019.0,3.0,21.0,3.0
2019-03-22,WIND_STORM,1,ABURA,1,2019.0,3.0,22.0,4.0
2019-03-23,WIND_STORM,1,AKWIDAA,1,2019.0,3.0,23.0,5.0
2019-04-25,WIND_STORM,1,BONWIRE JUNCTION,1,2019.0,4.0,25.0,3.0
2019-01-05,WIND_STORM,1,AHOBRE,1,2019.0,1.0,5.0,5.0
2019-01-05,WIND_STORM,1,ESIAMA,1,2019.0,1.0,5.0,5.0
2019-05-21,WIND_STORM,1,ESIAMA,1,2019.0,5.0,21.0,1.0
2019-05-21,FLOOD,1,"ABURA,AGONA",1,2019.0,5.0,21.0,1.0
2021-07-16,RAIN_STORM,1,ESIAMA,1,2021.0,7.0,16.0,4.0
2019-10-14,FLOOD,2,"ABURA,AGONA",1,2019.0,10.0,14.0,0.0
2019-11-23,FLOOD,1,DIXCOVE,1,2019.0,11.0,23.0,5.0
2019-07-03,RAIN_STORM,1,"ESSIPONG,ESSAMAM,MPINTSIN",1,2019.0,7.0,3.0,2.0
2019-01-05,RAIN_STORM,1,ESIAMA,1,2019.0,1.0,5.0,5.0
2019-05-31,FLOOD,1,ESIAMA,1,2019.0,5.0,31.0,4.0
2019-10-11,FLOOD,1,ESHIEM,1,2019.0,10.0,11.0,4.0
2019-02-19,RAIN_STORM,1,NYANSO,1,2019.0,2.0,19.0,1.0
2019-05-31,RAIN_STORM,1,ESIAMA,1,2019.0,5.0,31.0,4.0
2019-07-06,FLOOD,1,ESIAMA,1,2019.0,7.0,6.0,5.0
2019-07-06,RAIN_STORM,1,ESIAMA,1,2019.0,7.0,6.0,5.0
2019-04-07,RAIN_STORM,1,AKYIM,1,2019.0,4.0,7.0,6.0
2019-10-10,RAIN_STORM,1,NEW BENSO,1,2019.0,10.0,10.0,3.0
2019-10-10,RAIN_STORM,1,BENSO ATAKROM,1,2019.0,10.0,10.0,3.0
2019-11-27,WIND_STORM,1,NSUAEM,1,2019.0,11.0,27.0,2.0
2019-03-24,RAIN_STORM,1,COCOA TOWN,1,2019.0,3.0,24.0,6.0
2019-03-24,RAIN_STORM,1,JAWAY,1,2019.0,3.0,24.0,6.0
2019-05-30,FLOOD,1,ESIAMA,1,2019.0,5.0,30.0,3.0
2019-10-12,FLOOD,1,"JOMRO,MANTSEMANKABI,MENTUKWA,ELEBO ZONGO,NEWTOWN,BANYIN,ELEBO CEMETRY,ELEBO GYINAKRO,ELEBO POST OFFICE",1,2019.0,10.0,12.0,5.0
2019-10-13,FLOOD,1,GYINAKO,1,2019.0,10.0,13.0,6.0
2019-10-13,FLOOD,1,POST OFFICE,1,2019.0,10.0,13.0,6.0
2019-10-13,FLOOD,1,MANTEMANKABI,1,2019.0,10.0,13.0,6.0
2019-10-13,FLOOD,1,ZONGO,1,2019.0,10.0,13.0,6.0
2019-10-13,FLOOD,1,NDABULA,1,2019.0,10.0,13.0,6.0
2019-10-13,FLOOD,1,COCOA TOWN,1,2019.0,10.0,13.0,6.0
2019-10-13,FLOOD,1,GHANA NUNGUA,1,2019.0,10.0,13.0,6.0
2019-10-13,FLOOD,1,NSUANO,1,2019.0,10.0,13.0,6.0
2019-10-13,FLOOD,1,MARKET,1,2019.0,10.0,13.0,6.0
2019-10-13,FLOOD,1,NEW TOWN,1,2019.0,10.0,13.0,6.0
2019-10-13,FLOOD,1,AMAMAMO,1,2019.0,10.0,13.0,6.0
2019-10-13,FLOOD,1,MANTUKWA,1,2019.0,10.0,13.0,6.0
2019-10-13,FLOOD,1,BEYIN,1,2019.0,10.0,13.0,6.0
2019-12-19,FIRE,1,ENZINITIANU,1,2019.0,12.0,19.0,3.0
2019-07-03,RAIN_STORM,1,KOMFREKU,1,2019.0,7.0,3.0,2.0
,WIND_STORM,1,ESUMANKROM,1,,,,
2019-03-17,FLOOD,1,SHAMA KUMASI,1,2019.0,3.0,17.0,6.0
2019-04-14,FLOOD,1,ESIAMA,1,2019.0,4.0,14.0,6.0
2019-08-05,WIND_STORM,1,ESIAMA,1,2019.0,8.0,5.0,0.0
2019-01-05,TIDAL_WAVE,1,ESIAMA,1,2019.0,1.0,5.0,5.0
2021-07-16,WIND_STORM,1,ESIAMA,1,2021.0,7.0,16.0,4.0
2021-07-16,FLOOD,1,ESIAMA,1,2021.0,7.0,16.0,4.0
2019-10-14,FLOOD,1,AMISSAHKROM,1,2019.0,10.0,14.0,0.0
2019-10-14,FLOOD,1,UPPER INCHABAN,1,2019.0,10.0,14.0,0.0
2019-10-14,FLOOD,1,LOWER INCHABAN,1,2019.0,10.0,14.0,0.0
2019-10-14,FLOOD,1,NEW DABOASE JUNCTION,1,2019.0,10.0,14.0,0.0
2019-01-04,WIND_STORM,1,NKAKEM,1,2019.0,1.0,4.0,4.0
2019-05-27,RAIN_STORM,1,NKAKEM,1,2019.0,5.0,27.0,0.0
2019-05-31,WIND_STORM,1,ESIAMA,1,2019.0,5.0,31.0,4.0
2019-03-09,TIDAL_WAVE,1,AGYAN,1,2019.0,3.0,9.0,5.0
2019-11-10,FLOOD,1,"DUALE,AJOMORO,SIKA NYEASEM,AVREBO,NUABESA,GWIRA-BANSO,BAMIANKOR,SENTUM",1,2019.0,11.0,10.0,6.0
2019-10-14,FLOOD,1,"AVREBO,GWIRA BANSO,NUABESA",1,2019.0,10.0,14.0,0.0
2019-10-15,FLOOD,1,"DUALE,KUTUKROM,BAMIANKOR",1,2019.0,10.0,15.0,1.0
2019-10-16,FLOOD,1,"SENTUM,GWIRA ESIAM,",1,2019.0,10.0,16.0,2.0
2019-10-17,FLOOD,1,AJOMORO ESIAM,1,2019.0,10.0,17.0,3.0
2019-10-28,FLOOD,1,KAKUSUZO,1,2019.0,10.0,28.0,0.0
2019-10-27,FLOOD,1,AMANVUMANU,1,2019.0,10.0,27.0,6.0
2019-10-28,FLOOD,1,BOKRO,1,2019.0,10.0,28.0,0.0
2019-06-05,WIND_STORM,1,ESIAMA,1,2019.0,6.0,5.0,2.0
