location,year,month,disaster_type,prob_ACCIDENT,prob_COLLAPSE,prob_COMERCIAL FIRE,prob_DISASTER_TYPE,prob_DROWN,prob_DROWNING,prob_EPIDEMIC,prob_EXPLOSION,prob_FIRE,prob_FLOOD,prob_INDUSTRIAL FIRE,prob_LANDSLIDE,prob_LIGHTNING,prob_MAN MADE (BUILDING COLLAPSE),prob_MAN MADE(BUILDING COLLAPSE),prob_MAN_MADE,prob_PEST_INFESTATION,prob_RAIN_STORM,prob_TIDAL_WAVE,prob_WIND_STORM
Location,2024,1,EPIDEMIC,0.13,0.04,0.05,0.02,0.02,0.0,0.2,0.02,0.04,0.03,0.0,0.01,0.0,0.0,0.0,0.17,0.01,0.12,0.05,0.09
ESIAMA,2024,1,WIND_STORM,0.16,0.03,0.03,0.0,0.0,0.0,0.18,0.01,0.06,0.03,0.03,0.0,0.0,0.0,0.0,0.09,0.04,0.13,0.02,0.19
AGONA NKWANTA,2024,1,RAIN_STORM,0.09,0.03,0.01,0.0,0.0,0.0,0.15,0.03,0.03,0.08,0.11,0.0,0.01,0.0,0.0,0.13,0.01,0.21,0.02,0.09
MPATASE,2024,1,EPIDEMIC,0.14,0.04,0.05,0.02,0.02,0.0,0.19,0.02,0.04,0.03,0.0,0.01,0.0,0.0,0.0,0.17,0.02,0.11,0.05,0.09
ABURA,2024,1,EPIDEMIC,0.1,0.03,0.01,0.0,0.01,0.0,0.2,0.07,0.05,0.04,0.06,0.0,0.0,0.0,0.0,0.16,0.0,0.18,0.02,0.07
AKWIDAA,2024,1,EPIDEMIC,0.12,0.05,0.02,0.0,0.02,0.0,0.25,0.07,0.03,0.05,0.05,0.0,0.0,0.0,0.0,0.13,0.0,0.11,0.02,0.08
BONWIRE JUNCTION,2024,1,EPIDEMIC,0.12,0.06,0.03,0.01,0.02,0.0,0.22,0.05,0.03,0.02,0.01,0.0,0.0,0.0,0.0,0.16,0.01,0.16,0.03,0.07
AHOBRE,2024,1,EPIDEMIC,0.12,0.05,0.02,0.0,0.02,0.0,0.24,0.07,0.03,0.05,0.05,0.0,0.0,0.0,0.0,0.13,0.0,0.12,0.02,0.08
"ABURA,AGONA",2024,1,EPIDEMIC,0.1,0.03,0.01,0.0,0.01,0.0,0.2,0.07,0.05,0.04,0.06,0.0,0.0,0.0,0.0,0.16,0.0,0.18,0.02,0.07
DIXCOVE,2024,1,EPIDEMIC,0.1,0.05,0.02,0.0,0.01,0.0,0.27,0.05,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.17,0.02,0.15,0.03,0.06
"ESSIPONG,ESSAMAM,MPINTSIN",2024,1,EPIDEMIC,0.15,0.05,0.04,0.01,0.02,0.0,0.23,0.03,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.17,0.01,0.12,0.05,0.08
ESHIEM,2024,1,EPIDEMIC,0.12,0.04,0.03,0.0,0.01,0.0,0.29,0.03,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.16,0.02,0.12,0.04,0.07
NYANSO,2024,1,MAN_MADE,0.17,0.04,0.04,0.01,0.02,0.0,0.18,0.02,0.05,0.03,0.0,0.02,0.0,0.0,0.01,0.19,0.0,0.09,0.03,0.1
AKYIM,2024,1,EPIDEMIC,0.12,0.05,0.02,0.0,0.02,0.0,0.25,0.07,0.03,0.05,0.05,0.0,0.0,0.0,0.0,0.13,0.0,0.11,0.02,0.08
NEW BENSO ,2024,1,EPIDEMIC,0.15,0.04,0.05,0.02,0.02,0.0,0.19,0.02,0.04,0.03,0.0,0.01,0.0,0.0,0.01,0.15,0.01,0.11,0.05,0.1
BENSO ATAKROM,2024,1,EPIDEMIC,0.12,0.05,0.02,0.01,0.02,0.0,0.22,0.05,0.03,0.03,0.01,0.0,0.0,0.0,0.0,0.16,0.01,0.17,0.02,0.08
NSUAEM,2024,1,EPIDEMIC,0.16,0.04,0.05,0.02,0.02,0.0,0.18,0.02,0.05,0.04,0.0,0.01,0.0,0.0,0.01,0.17,0.0,0.1,0.03,0.1
COCOA TOWN,2024,1,EPIDEMIC,0.1,0.05,0.02,0.0,0.01,0.0,0.26,0.05,0.06,0.01,0.01,0.0,0.0,0.0,0.0,0.17,0.02,0.15,0.03,0.06
JAWAY,2024,1,EPIDEMIC,0.1,0.03,0.03,0.0,0.01,0.0,0.28,0.03,0.06,0.03,0.0,0.01,0.0,0.0,0.0,0.16,0.02,0.11,0.03,0.1
"JOMRO,MANTSEMANKABI,MENTUKWA,ELEBO ZONGO,NEWTOWN,BANYIN,ELEBO CEMETRY,ELEBO GYINAKRO,ELEBO POST OFFICE",2024,1,EPIDEMIC,0.13,0.04,0.04,0.01,0.02,0.0,0.23,0.03,0.03,0.03,0.0,0.01,0.0,0.0,0.0,0.17,0.01,0.11,0.04,0.1
GYINAKO,2024,1,EPIDEMIC,0.15,0.05,0.04,0.01,0.02,0.0,0.23,0.03,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.17,0.01,0.12,0.05,0.08
POST OFFICE,2024,1,EPIDEMIC,0.16,0.03,0.04,0.01,0.02,0.01,0.18,0.02,0.06,0.03,0.0,0.02,0.0,0.0,0.01,0.18,0.0,0.09,0.03,0.11
