location,most_likely_disaster
ABEASE,MAN_MADE
ABENBOBOM,MAN_MADE
ABOADI,MAN_MADE
ABOADZE,MAN_MADE
ABODUAM,MAN_MADE
ABOI,MAN_MADE
ABOSO,MAN_MADE
ABUESI,MAN_MADE
ABUESI COMPOUND,MAN_MADE
ABUESI-BAKAEKYIR,MAN_MADE
ABURA,MAN_MADE
"ABURA,AGONA",MAN_MADE
ACHOWA,MAN_MADE
ADA NKWANTA,MAN_MADE
ADAANSE,MAN_MADE
ADABOKROM,MAN_MADE
ADAKOPE,MAN_MADE
ADANSE,MAN_MADE
ADENTIEM,MAN_MADE
ADIENTEM,MAN_MADE
ADIEWOSO,MAN_MADE
ADJEIKROM,MAN_MADE
ADJUMAKO MPATAASE,MAN_MADE
ADOBEWURA,MAN_MADE
ADUBRIEM,MAN_MADE
ADUBRIM,MAN_MADE
ADUM DOMINASE,MAN_MADE
ADWOZE,MAN_MADE
AGONA NKWANTA,MAN_MADE
AGONA NKWANTA MKT,MAN_MADE
AGYADEN,MAN_MADE
AGYAN,MAN_MADE
AGYEIKROM,MAN_MADE
AGYEZA,MAN_MADE
AHOBRE,MAN_MADE
AHUNYAME,MAN_MADE
AHWIAM,MAN_MADE
AIRPORT RIDGE,MAN_MADE
AIYINASI,MAN_MADE
AJOMORO ESIAM,MAN_MADE
AKANGO,MAN_MADE
"AKANGO,AKOSONU,BOMOKROM,AWOLEZO,BANKYIM,BOKRO,AJOMORO,AYISAKRO",MAN_MADE
AKETENCHI,MAN_MADE
AKONTOMBRA,MAN_MADE
AKOON,MAN_MADE
AKOSONU,MAN_MADE
AKOTO,MAN_MADE
AKPANDUE,MAN_MADE
AKROPONG,MAN_MADE
AKWIDAA,MAN_MADE
AKYEMPIM,MAN_MADE
AKYEPIM,MAN_MADE
AKYIM,MAN_MADE
AKYINIM,MAN_MADE
ALEWULE,MAN_MADE
ALLAN BEACH,MAN_MADE
ALLOWULE,MAN_MADE
AMAMAMO,MAN_MADE
AMANFUL,MAN_MADE
AMANVUMANU,MAN_MADE
AMANZULE NORTH,MAN_MADE
AMISSAHKROM,MAN_MADE
ANAJI,MAN_MADE
ANAJI OLD BRIGADE,MAN_MADE
ANAKUM,MAN_MADE
"ANKOBRA,EIKWE",MAN_MADE
ANLO BEACH,MAN_MADE
"ANLOMATOUPE,HALF ASSINI,TAKINTA,ATWEBA, EDOBO,ELENDA,EFFASU,ENZINYI TIANU,BOAKWA",MAN_MADE
ANLOMATUOPE,MAN_MADE
ANOMAKOKROM,MAN_MADE
ANTO,MAN_MADE
ANTO KUBEKRO,MAN_MADE
"ANTO,ABOSO,DUNKWA,OHIAMADWEN,OLD DABOASE JUNCTION,ASSORKO,KWAABENANOKROM,NEW DABOASE JUNCTION",MAN_MADE
ANWIA,MAN_MADE
APATAIM,MAN_MADE
APEMANYIM,MAN_MADE
APEMENIM,MAN_MADE
APOLLO SANKOBA,MAN_MADE
APONTENKROM,MAN_MADE
"APOWA, BEAHU, NEW AMANFUL, FUNKO, KEJEBIL",MAN_MADE
APPEATSE,MAN_MADE
APPIATSE,MAN_MADE
APREMDO,MAN_MADE
APREMDO TOWN,MAN_MADE
"ASAKRANGUA,SAMREABOI,KOKOASE",MAN_MADE
ASANKRANGWA,MAN_MADE
ASANTA,MAN_MADE
"ASANTA,ASEMKO,OLD BAKANTA,ESIAMA,EKWEI",MAN_MADE
ASAWINSO,MAN_MADE
ASEAMASA,MAN_MADE
ASEMASA,MAN_MADE
"ASEMASA,AKATENCHIE,ACHOWAI,TIGARI,AHUNTUMAN",MAN_MADE
ASEMBA,MAN_MADE
ASEMKO,MAN_MADE
"ASEMKO,KRISAN,NKROFUL,DADWEN,ASOMASE,BASEKE,SANTASO,BONSUKROM,ASANTA",MAN_MADE
ASEMKOW,MAN_MADE
ASIKAFO-ANBANTEM,MAN_MADE
ASSAKAE,MAN_MADE
ASSUAWUAH,MAN_MADE
ASUOHYIAM,MAN_MADE
ATEIKU,MAN_MADE
ATEIKU OSENSO,MAN_MADE
"ATEIKU,AKUTUASE",MAN_MADE
ATIEKU,MAN_MADE
ATITSO,MAN_MADE
ATOBRAKROM,MAN_MADE
ATTAKROM,MAN_MADE
ATWEBAN,MAN_MADE
ATWEREBOANDA,MAN_MADE
AVREBO,MAN_MADE
"AVREBO,GWIRA BANSO,NUABESA",MAN_MADE
AWIEBO,MAN_MADE
AWORABO,MAN_MADE
AXIM,MAN_MADE
