Date,Disaster_Type,Severity,Location
2019-11-02,WINDSTORM,1,AGONA NKWANTA
2019-03-21,WINDSTORM,1,MPATASE
2019-03-22,WINDSTORM,1,ABURA
2019-03-23,WINDSTORM,1,AKWIDAA
2019-04-25,WINDSTORM,1,BONWIRE JUNCTION
2019-01-05,WINDSTORM,1,AHOBRE
2019-01-05,WINDSTORM,1,
2019-01-05,WINDSTORM,1,
2019-05-21,WINDSTORM,1,
2019-05-21,FLOOD,1,"ABURA,AGONA"
2019-10-14,FLOOD,2,"ABURA,AGONA"
2019-11-23,FLOOD,1,DIXCOVE
2019-07-03,RAINSTORM,1,"ESSIPONG,ESSAMAM,MPINTSIN"
2019-01-05,RAINSTORM,1,
2019-01-05,RAINSTORM,1,
2019-01-05,RAINSTORM,1,
2019-01-05,RAINSTORM,1,
2019-01-05,RAINSTORM,1,
2019-05-31,FLOOD,1,
2019-10-11,FLOOD,1,ESHIEM
2019-07-03,RAINSTORM,1,"ESSIPONG,ESSAMAM,MPINTSIN"
2019-01-05,RAINSTORM,1,
2019-01-05,RAINSTORM,1,
2019-01-05,RAINSTORM,1,
2019-01-05,RAINSTORM,1,
2019-01-05,RAINSTORM,1,
2019-05-31,FLOOD,1,
2019-10-11,FLOOD,1,ESHIEM
2019-02-19,RAINSTORM,1,NYANSO
2019-05-31,RAINSTORM,1,
2019-07-06,FLOOD,1,
2019-07-06,RAINSTORM,1,
2019-04-07,RAINSTORM,1,AKYIM
2019-10-10,RAINSTORM,1,NEW BENSO
2019-10-10,RAINSTORM,1,BENSO ATAKROM
2019-11-27,WINDSTORM,1,NSUAEM
2019-03-24,RAINSTORM,1,COCOA TOWN
2019-03-24,RAINSTORM,1,JAWAY
2019-05-30,FLOOD,1,
2019-05-31,FLOOD,1,
2019-10-12,FLOOD,1,"JOMRO,MANTSEMANKABI,MENTUKWA,ELEBO ZONGO,NEWTOWN,BANYIN,ELEBO CEMETRY,ELEBO GYINAKRO,ELEBO POST OFFICE"
2019-10-13,FLOOD,1,GYINAKO
2019-10-13,FLOOD,1,POST OFFICE
2019-10-13,FLOOD,1,MANTEMANKABI
2019-10-13,FLOOD,1,ZONGO
2019-10-13,FLOOD,1,NDABULA
2019-10-13,FLOOD,1,COCOA TOWN
2019-10-13,FLOOD,1,GHANA NUNGUA
2019-10-13,FLOOD,1,NSUANO
2019-10-13,FLOOD,1,MARKET
2019-10-13,FLOOD,1,NEW TOWN
2019-10-13,FLOOD,1,AMAMAMO
2019-10-13,FLOOD,1,MANTUKWA
2019-10-13,FLOOD,1,BEYIN
2019-12-19,DOMESTIC FIRE,1,ENZINITIANU
2019-07-03,RAINSTORM,1,KOMFREKU
2019-03-11,WINDSTORM,1,ESUMANKROM
